"Table 2.  Individual Income and Tax Data, by State
And Size of Adjusted Gross Income, Tax Year 2011",,,,,,,,,,
        Amount,"5,351,793",0,"128,005","429,656","592,560","645,177","1,621,206","946,342","283,013","705,833"
Taxable income:  Number,"3,001,358",0,"613,582","825,790","512,918","350,185","521,164","153,297","17,082","7,340"
    Amount,"175,053,151",0,"3,676,518","16,491,229","20,525,300","20,958,906","52,205,129","33,514,136","9,689,372","17,992,562"
Income tax before credits:  Number,"2,980,934",176,"600,429","821,085","511,460","349,432","520,601","153,297","17,103","7,351"
    Amount,"34,038,098","1,931","390,675","2,053,236","2,958,478","3,189,148","9,385,664","8,172,474","2,854,083","5,032,408"
Alternative minimum tax:  Number,"145,728",142,267,198,"1,002","1,885","19,373","108,888","12,316","1,657"
        Amount,"824,179","1,813",551,616,"1,725","3,105","40,165","536,945","135,738","103,521"
Total tax credits:  [9] Number,"1,272,717",163,"189,674","353,486","218,148","167,727","257,306","69,825","10,844","5,544"
    Amount,"1,492,585",158,"68,774","320,810","306,441","263,297","303,809","63,730","40,877","124,688"
    Foreign tax credit:  Number,"228,070",**,"** 9,476","21,562","28,944","30,350","77,836","46,092","8,971","4,839"
        Amount,"190,016",**,** 469,"1,673","3,112","4,443","18,598","33,888","28,068","99,766"
    Child care credit:  Number,"192,740",3,"13,303","42,727","31,132","29,079","55,534","19,051","1,523",388
        Amount,"106,505",1,"4,929","25,532","17,128","16,532","31,255","9,981",886,259
    Nonrefundable education credits:  Number,"305,626",26,"61,875","91,986","54,000","42,410","55,329",0,0,0
        Amount,"323,833",28,"34,433","90,698","65,376","53,198","80,101",0,0,0
    Retirement savings contributions credit:  Number,"170,290",26,"59,178","95,914","15,172",0,0,0,0,0
        Amount,"27,584",24,"9,069","16,135","2,355",0,0,0,0,0
    Child tax credit:  Number,"602,621",56,"53,751","192,201","138,356","108,714","109,469",74,0,0
        Amount,"733,643",88,"18,665","179,994","208,606","179,623","146,613",55,0,0
    Residential energy tax credit:  Number,"117,439",5,"3,946","20,045","22,889","20,468","37,364","11,408",978,336
        Amount,"44,464",3,833,"5,812","6,986","6,682","14,168","6,478","1,725","1,776"
Self-employment tax:  Number,"428,886","5,826","151,113","71,189","50,628","38,495","69,787","32,265","6,448","3,135"
    Amount,"1,176,078","12,310","176,146","140,594","114,109","97,050","244,472","221,411","84,960","85,026"
Total tax payments: [10] Number,"3,639,946","24,108","1,215,457","843,501","511,397","348,975","519,393","152,767","17,022","7,326"
    Amount,"40,564,611","123,915","2,640,242","3,629,358","3,744,000","3,797,036","10,287,449","8,235,912","2,865,937","5,240,762"
    Earned income credit:  [11] Number,"623,145","4,986","449,647","168,512",0,0,0,0,0,0
         Amount,"1,334,103","5,413","1,043,136","285,554",0,0,0,0,0,0
         Excess earned income credit (refundable): [12] Number,"546,752","3,448","403,715","139,589",0,0,0,0,0,0
             Amount,"1,186,645","3,835","942,279","240,531",0,0,0,0,0,0
    Additional child credit:  Number,"454,367","2,443","279,955","146,593","21,676","3,082",** 618,**,0,0
        Amount,"586,811","3,793","336,728","213,277","27,959","4,193",** 860,**,0,0
    Refundable education credit: [13] Number,"287,953","4,579","96,366","65,985","39,705","29,476","51,842",0,0,0
        Amount,"261,164","4,484","84,174","57,272","36,454","27,691","51,089",0,0,0
Income tax:  [14] Number,"2,693,726",143,"481,326","679,750","489,099","346,057","519,680","153,231","17,093","7,347"
    Amount,"32,545,582","1,773","321,903","1,732,426","2,652,070","2,925,864","9,081,868","8,108,752","2,813,205","4,907,720"
Total tax liability:  [15] Number,"2,880,817","7,385","618,444","713,330","496,228","347,444","520,225","153,310","17,102","7,349"
    Amount,"33,933,902","17,446","508,510","1,894,079","2,793,164","3,050,412","9,391,464","8,371,689","2,906,772","5,000,366"
Tax due at time of filing:  [16] Number,"666,828","3,998","114,395","113,708","105,942","77,072","165,369","75,033","8,427","2,884"
    Amount,"2,813,320","6,776","80,709","157,122","206,797","192,010","655,658","783,813","288,585","441,850"
Overpayments refunded:  [17] Number,"2,965,754","22,359","1,137,920","732,326","399,415","264,908","337,771","64,585","4,691","1,779"
    Amount,"8,362,593","106,672","2,211,019","1,874,606","1,128,510","905,384","1,432,990","449,715","98,694","155,002"
"** - Not shown to avoid disclosure of information about specific
taxpayers.  However, the data are combined with data in an adjacent
size class, as appropriate, and included in the appropriate totals.",,,,,,,,,,
[1] Includes returns with adjusted gross deficit. ,,,,,,,,,,
[2] Less deficit.,,,,,,,,,,
"[3] ""Total income"" represents the summation of taxpayer reported
income items made up in the calculation of the total income line of
Form 1040 before adjustments.",,,,,,,,,,
"[4] ""Number,"" here, and elsewhere in Table 2, represents number of
returns, unless otherwise specified.",,,,,,,,,,
"[5] ""Qualified dividends"" are ordinary dividends received in tax years
beginning after 2002 that meet certain conditions and receive
preferential tax rates. The maximum qualified dividends tax rate is
15%.",,,,,,,,,,
"[6] Includes the Alaskan permanent fund, reported by residents of
Alaska on Forms 1040A and 1040EZ's.  This fund only applies to
statistics in the U.S. totals, and the state of Alaska.",,,,,,,,,,
"[7] ""Total statutory adjustments"" represents the summation of the
individual adjustments to income reported on Form 1040.  ",,,,,,,,,,
"[8] ""Itemized deductions"" include any amounts reported by the
taxpayer, even if they could not be used in computing ""taxable
income,"" the base on which the regular income tax was computed.
Thus, total itemized deductions include amounts that did not have to
be reported by taxpayers with no ""adjusted gross income."" (Adjusted
gross income is the total from which these deductions would normally
be subtracted.)  In addition, if standard and itemized deductions were
both reported on a tax return, the form of deduction actually used in
computing income tax was the one used for the statistics.  Therefore,
if the standard deduction was the form of deduction used, the total
reported for itemized deductions was excluded from the statistics.
However, the component deductions were not similarly excluded.  As
a result, the number of returns and related amounts for the
component deductions are slightly overstated in relation to the grand
total shown for itemized deductions.  These components are also
overstated in relation to the total because there was a statutory
limitation on the total of itemized deductions that could be claimed by
certain high-income taxpayers.  This limitation did not affect the
component deductions, the sum of which therefore exceeded the
total used in computing income tax. ",,,,,,,,,,
"[9] Unlike Table 1, Table 2's ""Total tax credits"" excludes the ""earned
income credit"" and ""refundable education credit,"" which are shown
separately below in the table. ",,,,,,,,,,
"[10] ""Total tax payments"" represent the summation of taxpayer
reported income items made up in the calculation of the total payments
line of Form 1040.",,,,,,,,,,
"[11] ""Earned income credit"" includes both the refundable and
non-refundable portions.  The non-refundable portion could reduce
income tax and certain related taxes to zero. The earned income
credit amounts in excess of total tax liability, or amounts when there
was no tax liability at all, were refundable.  See footnote 12 below for
explanation of the refundable portion of the earned income credit.",,,,,,,,,,
"[12] The refundable portion of the ""earned income credit"" equals ""total
income tax"" minus the ""earned income credit.""  If the result is negative,
this amount is considered the refundable portion.  No other refundable
credits were taken into account for this calculation.",,,,,,,,,,
"[13] The ""refundable education credit"" can partially or totally offset tax
liability as well as be totally refundable.",,,,,,,,,,
"[14]  ""Income tax"" reflects the amount reported on Form 1040 line 55.
It also includes data from Form 1040A and 1040EZ filers.  This amount
differs from ""income tax after credits"" used in statistical tables
derived from the Individual Statistics of Income (SOI) sample. The
SOI figure for ""income tax after credits"" takes in to account the effect
of refundable credits.    ",,,,,,,,,,
"[15] For Table 2, ""Total tax liability"" differs from ""Income tax,"" in that
""Total tax liability"" includes the taxes from recapture of certain
prior-year credits, tax applicable to individual retirement arrangements
(IRA's), social security taxes on self-employment income and on
certain tip income, advanced earned income payments, household
employment taxes, and certain ""other taxes"" listed in the Form 1040
instructions.  ",,,,,,,,,,
"[16] Reflects payments to or withholdings made to ""Total tax liability"".
This is the amount the tax filer owes when the income tax return is
filed.",,,,,,,,,,
"[17]  The amount of overpayments the tax filer requested to have
refunded. ",,,,,,,,,,
"[18] Includes, for example, returns filed from Army Post Office and
Fleet Post Office addresses by members of the armed forces
stationed overseas; returns filed by other U.S. citizens abroad; and
returns filed by residents of Puerto Rico with income from sources
outside Puerto Rico or with income earned as U.S. government
employees.",,,,,,,,,,
[19] Less than $500.,,,,,,,,,,
"NOTE: This table presents aggregates of all returns filed and
processed through the Individual Master File (IMF) system during
Calendar Year 2012, including any returns filed for tax years
preceding 2011.",,,,,,,,,,
"In general, during administrative or Master File processing, taxpayer
reporting discrepancies are corrected only to the extent necessary to
verify the total tax liability reported.  Most of the other corrections to
the taxpayer records used for these statistics could not be made
because of time and resource constraints.  The statistics in Table 2
should, therefore, be used with the knowledge that some of the data
have not been perfected or edited for statistical purposes and that
U.S. totals in this table may not be altogether comparable to U.S. totals
in Tables 1 and 3, as a result.  Also, see footnote 18, above for
differences in tax return coverage, which affects U.S. totals in this
table.",,,,,,,,,,
"Classification by State was usually based on the taxpayer's home
address.  However, some taxpayers may have used the address of a
tax lawyer, or accountant, or the address of a place of business;
moreover, such addresses could each have been located in a State
other than the State in which the taxpayer resided.",,,,,,,,,,
"For explanation of the tax law changes which could affect the
year-to-year analysis of data, refer to the respective years'
""Individual Income Tax Returns, Preliminary Data"" article published in
the SOI Spring Bulletin.  For further explanation of the tax terms, refer
to the respective years' ""Individual Income Tax Returns,"" Publication
1304.",,,,,,,,,,
Note: Detail may not add to totals because of rounding.,,,,,,,,,,
"SOURCE: IRS, Statistics of Income Division, Individual Master File
System, December 2012.",,,,,,,,,,
